leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
TXL000405,Charles Schwertner,Charles,,Schwertner,,,True,tx,upper,5,Republican,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1025.jpg,2011-01-14 22:24:08.419000,2017-06-01 10:38:26.760000
TXL000414,José R. Rodríguez	,José,R.,Rodríguez	,,,True,tx,upper,29,Democrat,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1005.jpg,2011-01-14 22:24:08.575000,2017-06-01 10:38:26.815000
TXL000419,Donna Campbell,Donna,,Campbell,,,True,tx,upper,25,Republican,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1010.jpg,2013-01-09 00:29:35.053000,2017-06-01 10:38:26.288000
TXL000473,Sylvia R. Garcia,Sylvia R.,,Garcia,,,True,tx,upper,6,Democrat,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1035.jpg,2013-03-12 18:18:45.435000,2017-06-01 10:35:57.613000
TXL000479,Don Huffines,Don,,Huffines,,,True,tx,upper,16,Republican,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1095.jpg,2015-01-14 00:53:27.338000,2017-06-01 10:38:26.432000
TXL000482,Paul Bettencourt,Paul,,Bettencourt,,,True,tx,upper,7,Republican,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1055.jpg,2015-01-14 00:53:27.393000,2017-06-01 10:38:26.745000
TXL000487,Konni Burton,Konni,,Burton,,,True,tx,upper,10,Republican,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1090.jpg,2015-01-14 00:53:27.536000,2017-06-01 10:38:26.492000
TXL000503,Bob Hall,Bob,,Hall,,,True,tx,upper,2,Republican,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1050.jpg,2015-01-14 00:53:27.965000,2017-06-01 10:38:26.801000
TXL000705,Dawn Buckingham,Dawn,,Buckingham,,,True,tx,upper,24,Republican,,2017-01-18 03:03:18.301000,2017-06-01 10:38:26.639000
TXL000707,Borris L. Miles,Borris L.,,Miles,,,True,tx,upper,13,Democrat,,2017-01-18 03:03:18.403000,2017-06-01 10:38:26.414000
TXL000716,Bryan Hughes,Bryan,,Hughes,,,True,tx,upper,1,Republican,,2017-01-27 05:42:08.204000,2017-06-01 10:38:26.497000
