leg_id,filerIdent,TLO_id,first_name,last_name,suffix,ctaSeekOfficeCd
TXL000691,80046,A3515,Jay,Dean,,STATEREP
TXL000684,80065,A3235,Victoria,Neave,,STATEREP
TXL000690,80066,A3205,Justin,Holland,,STATEREP
TXL000698,80143,A3435,Tomas,Uresti,,STATEREP
TXL000680,80276,A3220,Lynn,Stucky,,STATEREP
TXL000694,80325,A3425,Valoree,Swanson,,STATEREP
TXL000678,80350,A3525,Terry,Wilson,,STATEREP
TXL000674,80388,A2815,Laura,Thompson,,STATEREP
TXL000674,80388,A4630,Laura,Thompson,,STATEREP
TXL000672,80580,A3345,Jarvis,Johnson,,STATEREP
TXL000672,80580,A3185,Jarvis,Johnson,,STATEREP
