Position,Bill,LastName,FirstName,Role,Organization,City,State
On,SB 1,Hernandez,Demetrio,Staff,LBB,,
On,SB 1,Hernandez-Hart,Tonya,Staff,LBB,,
On,SB 1,Howard,Lonnie,LIT,Lamar Institute of Technology,,
On,SB 1,Technology) Hoyt,Dana G   President  (also providing written testimony),President,SHSU,Huntsville,TX
On,SB 1,Jenkins,Bobby,Chairman,THECB,Austin,TX
On,SB 1,Keck,Ray M,President,Texas A&M - Commerce,Commerce,TX
On,SB 1,Khator,Renu,President,University of Houston System / University of Houston,Houston,TX
On,SB 1,Kibler,William L.,President,Sul Ross State University,Alpine,TX
On,SB 1,Lerner,Barbara,Enrollment,Texas Woman's University,,
On,SB 1,Marquart,James,affairs,Lamar U,,
On,SB 1,McCall,Brian,chancellor,The Texas State University System,Austin,TX
On,SB 1,McGeady,John,Staff,LBB,,
On,SB 1,Moreno,Celina,Attorney,MALDEF,,
On,SB 1,Morgan,Raymond Vic,President,University of Houston - Victoria,Victoria,TX
On,SB 1,Nessler,Craig,Director,Texas A&M Agrilife Research,,
On,SB 1,Newton,John,Staff,LBB,,
On,SB 1,Nigliazzo,"Dr, Marc",President,Texas A&M University - Central Texas,,
On,SB 1,Olivas,Michael A.,Downtown,UHD,,
On,SB 1,Owens,Greg,Staff,LBB,,
On,SB 1,Palmer,Douglas,Officer,Texas A&M University at Galveston,Galveston,TX
On,SB 1,Peebles,Rex C,Board,Texas Higher Education Coordinating Board,,
On,SB 1,Pool,Jeff,Staff,LBB,,
On,SB 1,Quintanilla,Kelly,President,Texas A&M University - Corpus Christi,CC,TX
On,SB 1,Reed,Cyrus,Director,,,
On,SB 1,Reynard,Betty,President,Lamar State College Port Arthur,,
On,SB 1,Arthur) Romero,Jesse,,Texas Association for Bilingual Education,San Antonio,TX
On,SB 1,Sera,Gary,Director,Texas A&M Engineering Extension Service,College Station,TX
On,SB 1,Shahan,Michael,President,Lamar State College - Orange,Orange,TX
On,SB 1,Sharp,John,Chancellor,Texas A&M University System,College Station,TX
On,SB 1,Staples,William A. (Bill),President,,,
On,SB 1,Steele,Douglas L.,Director,Texas A&M Agrilife Extension,College Station,TX
On,SB 1,Tallant,Steven   President  (also providing written testimony),President,Texas A&M Kingsville,,
On,SB 1,Teniente-Matson,Cynthia,President,Texas A&M - San Antonio,San Antonio,TX
On,SB 1,Trauth,Denise M,President,Texas State University,,
On,SB 1,Wendler,Walter,University,West Texas A&M University,,
On,SB 1,Winfree,Mr. Greg,Director,Tx A&M Transportation Institute (TTI),College Station,TX
On,SB 1,Wright,George C.,President,PUAMU,Prairie View,TX
On,SB 1,Young,Michael K.,Professor,"Texas A&M University - ""Whoop""",College Station,TX
On,SB 1,Bradford,Corey S.,CFO,Prairie View A&M University,Prairie View,TX
On,SB 1,Hamilton,Billy,CFO,Texas A&M System,College Station,TX
On,SB 1,Martin,"Ph.D., Jennifer",Affairs,Texas Woman's University,Denton,TX
On,SB 1,Nave,Felecia M,Provost,PVAMU,Prairie View,TX
On,SB 1,Wilson,Pamela,Finance,Texas Woman's University,,
